Zeitstempel,node_lng,node_lat,hotspot_channel,hotspot_frequency,hotspot_hold_time,hotspot_id,hotspot_lat,hotspot_long,hotspot_name,hotspot_reported_at,hotspot_rssi,hotspot_snr,hotspot_spreading,hotspot_status,type,uuid,id,name,fcnt,reported_at,port,devaddr
24.12.2022 15:44:58,12.1575,47.5758,7,868.5,0,11mRE6CqY1UNomYQ5v8W1dPSxJV14Awbiv3oBndsbTcFWaMJAsM,47.5727162077406,12.159984839583768,loud-pastel-sloth,1671893095727,-105,8.800000190734863,SF7BW125,success,uplink,e7095d0c-c1d8-4c02-bc05-37f2e9ed3a7a,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,212,24.12.2022 15:44:55,3,01000048
24.12.2022 15:45:58,12.1575,47.5758,5,868.0999755859375,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671893155781,-111,1.2000000476837158,SF7BW125,success,uplink,8fe2383e-f56b-4b59-bfb7-6fe7d1530974,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,213,24.12.2022 15:45:55,3,01000048
24.12.2022 15:46:58,12.1576,47.5758,6,868.2999877929688,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671893215664,-110,3.200000047683716,SF7BW125,success,uplink,75ecdb7d-d52d-4879-b1c2-195c20c42218,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,214,24.12.2022 15:46:55,3,01000048
24.12.2022 15:47:58,12.1576,47.5758,7,868.5,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893275751,-115,-6.800000190734863,SF7BW125,success,uplink,633aad21-bf93-4b67-b455-96d7cac1e9fb,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,215,24.12.2022 15:47:55,3,01000048
24.12.2022 15:48:58,12.1576,47.5758,5,868.0999755859375,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893335773,-115,-7.0,SF7BW125,success,uplink,d0eb21b9-c603-4972-ab66-77e72944cb70,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,216,24.12.2022 15:48:55,3,01000048
24.12.2022 15:49:58,12.1576,47.5758,7,868.5,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893394913,-116,-7.5,SF7BW125,success,uplink,f0929867-8c6f-48ba-bbff-8499db1e85e3,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,217,24.12.2022 15:49:54,3,01000048
24.12.2022 15:50:58,12.1576,47.5758,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893455715,-115,-7.5,SF7BW125,success,uplink,82573e0b-4732-405a-a6b3-13366eafb1c7,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,218,24.12.2022 15:50:55,3,01000048
24.12.2022 15:51:58,12.1576,47.5757,7,868.5,1,11mRE6CqY1UNomYQ5v8W1dPSxJV14Awbiv3oBndsbTcFWaMJAsM,47.5727162077406,12.159984839583768,loud-pastel-sloth,1671893515710,-109,6.800000190734863,SF7BW125,success,uplink,2c230153-6846-4722-bebb-98651c86d341,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,219,24.12.2022 15:51:55,3,01000048
24.12.2022 15:52:58,12.1576,47.5757,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893575667,-115,-8.0,SF7BW125,success,uplink,2d21d928-f49b-479f-9463-471c72333f5e,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,220,24.12.2022 15:52:55,3,01000048
24.12.2022 15:53:58,12.1576,47.5758,5,868.0999755859375,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893635705,-116,-7.800000190734863,SF7BW125,success,uplink,94e8410b-45f0-461f-94bd-06fc4ba0dcb1,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,221,24.12.2022 15:53:55,3,01000048
